"
,
,
,
,
,
,
,             



,
,
,
,
,
,
,
,             



, , ",,NeaPeramos
"
,
,
,
,
,
,
,         



, ",,Perigialli
,,NeaIraklitsa
,,OfrynioTouzla
"THE MUNICIPAL BEACH OF KIANI AKTI IS ONE ,
RURAL BEACH 1 KILOMETER FROM THE VILLAGE ,
MAKRI IN AGIA PARASKEBI .THE BATHERS CAN ,
COME TO THE BEACH USING ALL THE MEANS OF ,
MASS TRANSPORT BUSES CARS BICYCLES .IN ,
THE AROUND REGION EXIST HOTELS, CAMPING ,
AND RENTED ROOMS.TYPE OF COAST: BEACH ,
WITH SANDVEGETATION: BUSHES (ALMIRIKIA) ,
AND PINES .LENGTH OF THE COAST: 500 ,
METERS.WIDTH OF THE COAST: 40 METERS .LINK ,
TO WEBSITE FOR THE BEACH : www.ditea.gr",,KianiAkti
" , , ",,keramotiAmmoglossa1
"
A luxury family resort spread along the endless,
stretch golden beach of 750 meters, in the,
unexplored West Peloponnese. 13 km from the,
town of Pyrgos, 50 km from the Araxos,
International Airport and 3.5hrs drive from,
Athens.Sports & Recreation is available every,
where in the hotel. Water sports center offering,
the opportunity to guests to: canoeing,,
windsurfing, pedal boats, banana-rides, ringos. 10,
Tennis courts, 1 volley ball, 1 basketball court, 1,
football field, mini-golf, 25 swimming pools, athletic,
activities programmes under the professional,
guidance.It is important to mention that at the hotel,
complex have taken place numerous of,
environmental educational activities, such us,
conferences, seminars, lectures, clean up,,
drawing competitions, photo competitions,,
recycling of paper, glass and ink. Olympian Village,
hosted the 2nd Eco-cultural Festival of Aldemar,
hotels. Some of the subjects were : Are sea turtles,
in danger ?, WWF-Awakening everyone’s,
conscience…., Binscapes-photo exhibition etc.Ilia,
is situated in the western part of the Peloponnese,,
scattered with mountain villages, vineyards, olive,
groves, orange trees and ends to the sea…its,
coastlines boast 750meters long and 30 meters,
width of fine white sand blend with clear, azure,
waters, accessible to every citizen and visitor,
through the public road. Link to our site:,
www.aldemarhotels.com",,Skafidia
"
,
,
,
,
,
,
,                        



",,Kalamitsa
,,LoutraKyllinis1
"The beach is sandy, situated in a populated area ,
and stretches the length of 20 Km and the breadth ,
of 30 m. The vegetation of the area consists mainly ,
of deciduous trees and shrubs. There are hotels ,
and rooms to let and water sports ,
available.Educational Environmental activities ,
involve: Lectures, litter collection, drawing and ,
photography competitions, book and flora ,
exhibitions, tree planting, regular visits to nature ,
reserves, sewage treatment, environmental ,
games, cycling races and hiking outing in Marathia ,
forest.Individuals have access to the beach via ,
public transport (bus service), coaches, cars, ,
bicycles and on foot.Our Website is: aepda.com",,Kourouta
,,Arkoudi
"Makryammos is a beach with very fine white sand,
and emerald waters. The length of the beach is,
approx. 250 meters and the breadth varies from 25,
to 50 meters. The waters of the beach are shallow,
and are especially suited for families with small,
children.On the surrounding hillside lies the resort,
hotel Makryammos Bungalows named after the,
beach. The hotel is built in a bungalow style with,
elements inspired from the local architecture and,
offers accommodation, as well as dining facilities,
to guests and visitors.Several environmental,
education facilities are carried out each season:,
painting and photo exhibitions, small lectures by,
local societies, sand sculpture competitions for,
children and parents.Facilities available: 4 star,
hotel accommodation, restaurants, bars, rent a car,,
water sports, tennis, beach volley, as well as,
other facilities which are exclusive to the use of,
the hotel guests (snorkeling, archery, kids club,,
sauna, aerobics, greek dances lessons etc).The,
hills are densely covered with a variety of trees:,
pines that reach the sea, olive groves, maple trees,
and a variety of bushes and flowers. One can,
explore the small bays neighboring the beach with,
beautiful land and water vegetation.Makryammos,
lies 2 km away from the main port of the island of,
Thassos called Limenas or Thassos Town. To,
reach the beach from Limenas, it takes 5 minutes,
by car, 20 minutes on foot or 15 minutes with a taxi,
boat by sea. Thassos is reached from the mainland,
with ferries that cover the 5 mile distance in half an,
hour. Ferry schedules are approx. every hour. The,
total transfer time from the international airport of,
Kavala to Makryammos is approximately 50,
minutes.For more information you may visit our,
website: www.makryammos-hotel.gr or,
www.thassos.gr Or you can email at:,
info@makryammos-hotel.gr",,Makryammos
"Platis Gialos is a sandy beach in Lassi which is the ,
most attractive and tourist place of the whole ,
island. Lassi lies in the N.W. part of Argostoli (the ,
capital of Kefallonia) and is full of pine trees, idyllic ,
places for walking and entertainment, hotels, ,
restaurants and shops. The environmental ,
activities materialized in the year 2004 were: field ,
study, discussions, lectures, case studies, planting ,
trees. In the nearby area there exist car rentals, ,
motos, bicycles, rooms and apartments to let, ,
restaurants, shops.The length of the beach is 200 ,
m. and the width 20-50m. Near the beach there are ,
pines and cypresses, brambles, holm-oaks and ,
aloes.People get to the beach by car or by foot and ,
steps or ramps are giving access to it. The ,
website is : www.argostoli.gr",,PlatysGialos
"SAND - RESORT - LIFEGUARD/LIFESAVING ,
EQUIPMENT, FACILITIES FOR DISABLED ,
PEOPLE, SPORT FACILITIES, RENT CAR, ,
BIKES, BICYKLES - PINUS BRATIA, TAMARI - ,
SAME LEVEL WITH THE ROAD - ,
WWW.THASOS.GR",,ChrysiAmmoudia2
 ,,Batis
,,LoutraKyllinis2
"THE ROAD FROM ARGOSTOLI TO SKALA/POROS ,
PASSES THROUGH SCENIC VILLAGES WITH THE ,
SEA ON THE RIGHT. AT THE VILLAGES OF ,
MOUSSATA OR VLACHATA, THE VISITOR CAN ,
TURN RIGHT ONTO NARROW ROADS, WHICH ,
LEAD TO THE FAMOUS AND PICTURESQUE ,
LOURDAS BAY, OFFERING 5KM OF SAND AND ,
PEBBLE BEACHES OVERLOOKED BY THE ,
MASSIVE SOUTHERN FLANK OF MOUNT AINOS ,
AND ITS SUMMIT, MEGA SOROS, 1628 METRES ,
ABOVE THE SEA. FROM MOUSSATA, THE ROAD ,
WINDS DOWN A RELATIVELY STEEP ,
HILLTHROUGH OLIVE GROVES AND STUNNING ,
SCENERY, TO BEACHES EXTENDING EITHER SIDE ,
OF THE SMALL FISHING HARBOUR OF ,
TRAPEZAKI, WITH ITS TAVERNA, SHOWERS AND ,
TOILETS.IN THE VILLAGE OF VLACHATA, ,
ANOTHER RIGHT TURN WILL TAKE THE VISITOR ,
THROUGH OLIVE GROVES TOTHE EXPANDING ,
RESORT VILLAGE OF LOURDATA. CONTINUING ,
THROUGH THE OLD VILLAGE CENTRE, THE ROAD ,
LEADS THROUGH PINE TREES, TO THE BEACH ,
WITH ITS BARS, TAVERNAS, RESTAURANTS AND ,
SHOPS. PARKING IS PERMITTED OVER A ,
DISTANCE OF 200 METRES ALONGSIDE THE ,
BEACH. THE FIRST IMPRESSION IS OF A LONG ,
CLEAN BEACH WITH CRYSTAL CLEAR WATER ,
AND A GENTLE SLOPE. LOOKING WEST, THE ,
BEACH EXTENDS TOWARDS TRAPEZAKI, WHICH ,
CAN BE SEEN IN THE DISTANCE.THE BEACH IS ,
REGULARLY CLEANED AND IS PATROLLED BY ,
LIFEGUARDS. THE GENTLE SLOPE AND SHALLOW ,
SEA ENSURE THE SAFETY OF CHILDREN PLAYING ,
AT THE WATERS EDGE AND THE BEACH AND ITS ,
ENVIRONS ARE FAMILY ORIENTATED.THOSE ,
WANTING PEACE AND SOLITUDE AWAY FROM ,
THE CROWD WILL ALWAYS FIND SPACE AT ,
LOURDAS AND THOSE INTERESTED IN THE ,
ISLAND’S WILDLIFE WILL FIND ABUNDANT ,
OPPERTUNITIES, BOTH ALONG THE SHORE - ,
WHERE HEDGEHOGS, RABBITS, FOXES AND ,
PINEMARTIN ROAM - AND IN THE SKY WHERE ,
NUMEROUS BIRDS, INCLUDING BIRDS OF PREY ,
SOARING ON HIGH, VISIT THE BEACH FROM THE ,
MOUNTAIN. DOLPHIN HAVE ALSO BEEN SEEN, ,
PLAYING IN THE BAY.LOURDAS BAY HAS MUCH ,
TO OFFER AND SPACE TO ACCOMMODATE ,
ALL.",,Lourdas
"Skala is the most highly developed tourist resort in ,
the municipality of Elios-Pronnoi.Its long, beautiful ,
and well-organized beach offers its visitors a wide ,
variety of facilities to cover every need .These ,
facilities include Seminars, Lectures, Clean up, Sea ,
Sports, Rent a Car, Rent a Bike or Bicycle, Scuba ,
Diving Lessons, Glass Bottom Boat Excursions.For ,
those who want to explore the beach along its ,
coastline, a beach that is 2.500m long and 30-60m ,
wide, pedaloes and canoes can be hired. Hotels ,
and Rent Rooms of all categories, numerous ,
Tavernas, Bars, Coffee-Bars and Souvenir Shops, ,
formate the Village of Skala.Pine trees separate the ,
village from the beach which is accessible along ,
its length by pedestrian crossings, offering along ,
with the poplats and rose-bay bushes relief from ,
the sun.Towards sunset and well into the night ,
holidaymakers can experience the Caretta Caretta ,
sea turtle swim ashore to lay its eggs.A more ,
detailed description of Skala Beach can be aquired ,
at www.elios-pronnoi.grWebsite.",,Skala
"The rural beach of Petani is with sand and,
pebbles. The beach’ s width is 50 meters and it’s,
length is 600 meters from which 200 meters is,
often used by the swimmers. There is an,
asphalted road that connects the beach with the,
nearby villages. There is also a rich flora,
and fauna at the nearby area. The type of tree that,
is most founded is olive, among with several types,
of bushes such as skina, thyme, oak etc. The type,
of fauna at the area is partridges, merles, hares,,
wild goats etc. A various environmental,
education facilities are carried out each year such,
as lectures, photo exhibitions, voluntary clean up,
of the coast by the elementary and high school,
students of Saint Thekli which is the nearest village,
to the coast. A limited number of rent rooms is,
available close to the shore. For further,
information link with the website for the,
municipality of Paliki www.lixouri.gr.",,Petani
"The village of Poros stretches along the North-East ,
Seashore of Kefalonia.Rayia Beach, 600m long ,
and 10-20m wide is accessible by foot along its ,
coastline from the beginning, center and end of the ,
beach. The seashore of Rayia Beach adjoins with ,
the main route artery of Poros Village.Its sandy and ,
pebble beach is one of the main atractions of this ,
rural and urban tourist resort.Its environmental ,
education facilities include Seminars, Lectures, ,
Clean up and Drawing exhibitions.Holidaymakers , ,
whilst settling in the numerous Rent rooms that are ,
offered in the village, can explore the seashore ,
and the tourist resort in general using the sport ,
facilities that are offered on the beach, Rent a car ,
agencies, Rent bikes or bicycles, ,
Excursions.Poplar trees and rose-bay bushes add ,
to the resorts natural beauty.Sea lovers can ,
experience encounters with different Fish , Seals. ,
Octapus and Dolphins.The www.elios-pronnoi.ge ,
website provides adequate information to the ,
potential visitor.",,AragiaPorou
text,region,beach_name
"Punta beach is a beautiful beach with pebbles, a ,
resort for the whole area of Egialia. The beach is ,
situated in the Municipality of Diakopto and is easily ,
accessible through the Old National Road Korinthu-,
Patras, just about three Klm, from the centre of ,
Diakopto. The Beach has  800 meters length and ,
30 meters width. Heather, Efkalyptus and pine ,
trees are all over the beach and there rooms to ,
rent, as well as, café and restaurants. There are ,
no organized sport facilities but during summer time ,
there are lectures and environmental activities ,
organized by the Municipality of Diakopto ,
(brochures, and information on marine and coastal ,
environment). For more information you can link to : ,
www.diakopto.gr/tourismos.htm",,Pounta
"Myrodato beach –which is the applicant beach for,
the blue flag - has a length of 1000 m and a width,
of 50 m. It lies to a rural area grown with acacias,,
poplars mulberries and planes as well as bulrush.,
It is a sandy beach, 100 m away from which one,
can find rooms to let. There is road access through,
the local road network. During the summer season,
there are frequent bus routes to the beach that,
fulfill all requirements.There are no sport facilities,
or cars and motorbikes for hire in the area.Every,
year certain activities and events related to,
environmental education are held by the,
municipality.The beach is presented in the website,
of Avdera municipality: www.avdera.gr",,MYRODATO
"Mesi coast is located just 2 kilometres east of Fanari village. Following a breathtaking coastal route of 6 km between the sea and the Alyki lagoon, either by driving a car or by riding a bike, takes you to the beach of ‘’Mesi”. This beautiful beach is characterized by white sands and turquoise waters. Next to the beach and at a distance of about 150 meters is the namesake seasonal settlement. The landscape is topped by a wonderful copse of pines expanding in a 17 acres area.,Finally, Fanari village offers bright and tastefully furnished rooms most of them having a sea view. Within a short distance walk, guests can also find many restaurants.,You can contact us at ,.",,Mesi
,,PlakaDilesiou
"The beach of Mikri Manitneia is a partly pebbly ,
partly sandy beach. On the beach there are ,
various trees, plants and palm trees. It is situated in ,
a populated area and is easily accessible by car.In ,
the wider area around the beach there are ,
apartments for rent serving the needs of visitors ,
during the summer. There are also many ,
restaurants, taverns, cafes, bars and clubs, ,
covering the entertainment needs of inhabitants ,
and visitors.The inhabitants of the area and the ,
visitors are sensitive as regards the protection of ,
the beach from pollution and collaborate with local ,
organisations for its protection.",,MIKRIMANTINIA
"The hotel CRETA STAR is found on the Scaleta,
coastline in the municipality of Arkadi on the island,
of Crete, Greece. The Scaleta beach of the,
CRETA STAR hotel has a length of 250m and width,
30m, it is sandy and contains pebbles. Our tourist,
resort is found on the Scaleta coastline with other,
hotels and rent room accommodations. The,
environmental educational activities carried out in,
our hotel include conferences, seminars, lectures,,
coast cleaning and drawing competitions. Facilities,
which are available on our coastline include sea,
sports, rent-a-car, rent-a-bike and rent bicycles.,
Around the coast are found the «Tamarisk» trees,
and oleander bushes. The flora in the nearby,
areas include the daffodil sea, the fauna seen,
include the gull and the shallow. Access to the,
coast is from the interior of the hotel. To provide,
easy access to the beach for all of our customers,
and particularly persons with special needs,
wooden walkways and ramps exist.",,Skaleta
,,Vrasna
"- SANDY - PEBBLES,
RESORT - LIFEGUARD/LIFESAVING,
EQUIPMENT, FACILITIES FOR THE,
DISABLED PEOPLE, SPORT FACILITIES,,
RENT CAR/BIKES/BICYCLES, HOTELS,,
RENT ROOMS,
- SEMINAR, LECTURE, CLEAN UP,,
DRAWING COMPETITION,
- 5TH JUNE - 1ST JULY.",,Platanidia
"Vatera beach is sandy with pebbles and in a,
touristic resort. In terms of environmental education,
activities, conferences, lectures, clean up and,
drawing competition are carried out. At the,
beaches there are hotel and rent a room. Sea,
sports, car, bikes and bicycle rental are being held.,
The length of the beach is,
approximately 8 km and the width 30m to 50m. The,
beach is full of trees and flowers such as pines,,
daisies and tulips. People can get to the,
beach by car, by taxi and bus. They can also link,
to the website of our municipality:,
www.polichnitos-lesvos.com",,Vatera
,,Thanos
"Tsilivi is a beautiful sandy beach ,part of the tourist ,
region of Planos .Many seminars , clean ,
up,drawing competitions are carried out every  ,
year to the Tsilivi beach .A big variety of beach ,
sports ahd car-bices-bicycle rentals are available ,
around the beach .The municipal region of Planos ,
is a highly development tourist area with many ,
hotels –appartments –restaurant –tourist shop-,
super markets ,bars and travel agencies.Olive ,
trees and pinetrees are the main type of trees ,
around the beach.The access to the beach is easy ,
and safe from many different ways.",,TSILIVI
,,MikrosGialosPoros
"MEGA AMMOS is located in Municipality of Sivota, ,
Thesprotia, GreeceType of Beach   : Beach with ,
sandResort BeachEnvironmental education ,
facilities: Conferences, Lectures, Clean up, ,
Expeditions Sea sport facilitiesHotels, rent ,
roomsLength of the beach: 250 m. Width : ,
Lifeguard/life saving equipmentFacilities for ,
disabled peopleTransportation: Sivota is directly ,
linked to the port of Igoumenitsa, to the Airport of ,
Ioannina and Corfu",,MegaAmmos
,,Nydri
,,Valtos
,,Kyani
,,PortoKatsiki
"The beach which belongs to the Municipality of ,
Paralia stretches out in length 3, 5 km and has an ,
average width 40m. It is a sandy beach whose ,
main part (about 2 km) belongs to Paralia, a well – ,
known Tourist Resort. There are many hotels, ,
rooms to let and sport facilities. The remaining part ,
of the beach belongs in the rural areas of Kalithea ,
and Peristasi! In the area of Paralia annual, many ,
environmental and educational activities takes ,
place such a bicycle races, clean up programmes, ,
and seminars. Schools and their pupils participate ,
in these activities. The beach of Paralia is easily ,
reached via the National Road and Railway either ,
from Thessaloniki and Makedonia Airport or from ,
Athens.",,Paralia
"TYPE OF BEACH: Mostly sandy beach with some,
pebbles. The beach is near a large resort and 500,
meters form the center of the traditional village of,
Pythagorion.TYPES OF ENVIRONMENTAL AND,
EDUCATIONAL ACTIVITIES: Doryssa Bay Hotel in,
cooperation with the Municipality of Pythagorio has,
organized seminars, lectures and a vast collection,
of nature photographs as well as community,
based activities.FACILITIES: On the beach you can,
find organized water-sports, bar, restaurant,,
playground, tennis court, beach volley, and mini,
football court and mini golf.LANDSCAPE: The,
beach in front of the hotel is approximately315,
meters and part of a larger beach that extends,
from the Castle of Lycourgos to the village of Ireon.,
The part of the beach in front of the hotel is,
covered with small trees and flowerbeds, and part,
covered with grass.ACCESS: The access to the,
beach is possible through the small village based,
on the traditional architectural line of Samos with,
small stone covered paths wooden ramps and,
bridges. The entire resort is adjacent to the main,
road of Hora-Pythagorion.CONTACTS: For further,
information you my access our site for Doryssa,
Bay Hotel: www.doryssa-bay.gr and for the,
Municipality of Pythagorio: www.pythagorion.net",,Potokaki1
,,AiGiannis
,,Lefkada
,,Tsoukes
,,Kyani
,,AgiosNikitasPefkoulia
"Type of Beach : Beach with sandRuralDescription,
of the environmental education facilities: Seminar,,
Lecture, Clean up, Other environmental facilities,
carried outFacilities:Sport facilities : NoRent a car :,
NoRent bikes : NoRent bicycles : NoDescription of,
the location of the beachHotels : YesRent rooms :,
YesDescription of nearby natural areas- Length of,
the Beach: 1 Km – Width: 20.50m- Type of Trees:,
Eucalyptus – pine tree – cypress tree- Type of,
bushes: -- Type of flora: Machia- Type of fauna:,
and adequate faunaDescription of how to get to,
the beach:By vertical roads with the Peripherical,
National RoadLink to website for the,
beach/municipality: -",,Monolithi
,,Kathisma1
"“Milies” beach in Stavros Thessaloniki is a beautiful,
sandy beach. It is located in the rural area of,
Stavros in Strymonicos Bay and it is 1000 meters,
long and 20 meters wide. Around the beach there,
are many trees, mostly plane trees and,
acacias.Schools and associations participate in the,
cleaning of the beach very often and also take,
pictures of the beaches. The pupils draw the,
beauties of the sea and articulate their ideas and,
suggestions both about the maintenance of the,
existing beauty and about its qualitative,
improvement.In the broadest area of the beach,
there are plenty of hotels and rooms for rent that,
can accommodate a great number of tourists,
during the summer season. There are also many,
facilities like car, motorbikes and bicycles rental as,
well as sports facilities.The access to the beach is,
easy, since Stavros is located on the 80th,
kilometer of the National Road from Thessaloniki to,
Kavala. Now that part of the Egnatia Road is ready,,
the access is even easier. The beautiful,
beach “Milies” is located in the area “Milies” 1 km,
from Stavros city center.Visit our website:,
www.dimos-rentinas.gr",,StavrosAnatoliki
" , , , ",,GLICORISA
"“Rihios” beach in Stavros Thessaloniki is a,
beautiful sandy beach. It is located in the rural area,
of Stavros in Strymonicos Bay and it is 1000,
meters long and 30 meters wide. Around the,
beach there are many plane trees and,
bushes.Schools and associations participate in the,
cleaning of the beach very often and also take,
pictures of the beaches. The pupils draw the,
beauties of the sea and articulate their ideas and,
suggestions both about the maintenance of the,
existing beauty and about its qualitative,
improvement.In the broadest area of the beach,
there are plenty of hotels and rooms for rent that,
can accommodate a great number of tourists,
during the summer season. There are also many,
facilities like car, motorbikes and bicycles rental as,
well as sports facilities.The access to the beach is,
easy, since Stavros is located on the 80th,
kilometer of the National Road from Thessaloniki to,
Kavala. Now that part of the Egnatia Road is ready,,
the access is even easier. The signs in the,
entrance of Stavros show the way to the beautiful,
beach “Rihios”.Visit our website: www.dimos-,
rentinas.gr",,StavrosDytiki
"“Platania” beach in Stavros Thessaloniki is a ,
beautiful sandy beach. It is located in the rural area ,
of Stavros in Strymonicos Bay and it is 1000 ,
meters long and 15 meters wide. The natural ,
environment of the beach is very rich since the ,
beach is located in a small wood of plane ,
trees.Schools and associations participate in the ,
cleaning of the beach very often and also take ,
pictures of the beaches. The pupils draw the ,
beauties of the sea and articulate their ideas and ,
suggestions both about the maintenance of the ,
existing beauty and about its qualitative ,
improvement.In the broadest area of the beach ,
there are plenty of hotels and rooms for rent that ,
can accommodate a great number of tourists ,
during the summer season. There are also many ,
facilities like car, motorbikes and bicycles rental as ,
well as sports facilities.The access to the beach is ,
easy, since Stavros is located on the 80th ,
kilometer of the National Road from Thessaloniki to ,
Kavala. Now that part of the Egnatia Road is ready, ,
the access is even easier. The beautiful ,
beach “Platania”  is located in the known wood of ,
plane trees of StavrosVisit our website: ,
www.dimos-rentinas.gr",,StavrosKendriki
" , , ,
",,NeaVrasna
text,region,beach_name
" , , ",Lakonia,Vathi
"Punta beach is a beautiful beach with pebbles, a ,
resort for the whole area of Egialia. The beach is ,
situated in the Municipality of Diakopto and is easily ,
accessible through the Old National Road Korinthu-,
Patras, just about three Klm, from the centre of ,
Diakopto. The Beach has  800 meters length and ,
30 meters width. Heather, Efkalyptus and pine ,
trees are all over the beach and there rooms to ,
rent, as well as, café and restaurants. There are ,
no organized sport facilities but during summer time ,
there are lectures and environmental activities ,
organized by the Municipality of Diakopto ,
(brochures, and information on marine and coastal ,
environment). For more information you can link to : ,
www.diakopto.gr/tourismos.htm",Achaia,Pounta
